model,N1,Hit1%,Prec1%,N3,Hit3%,Prec3%
gpt_4o_mini,328,55.79268292682927,55.79268292682927,328,69.20731707317073,18.597560975609756
gpt_4o,328,54.57317073170732,54.57317073170732,328,68.59756097560977,17.98780487804878
gpt_41,328,55.79268292682927,55.79268292682927,328,69.20731707317073,18.902439024390244
codestral,328,56.40243902439024,56.40243902439024,328,70.1219512195122,19.51219512195122
nova_pro,328,56.40243902439024,56.40243902439024,328,67.98780487804879,19.20731707317073
claude35_sonnet,328,17.073170731707318,1.2195121951219512,328,70.1219512195122,19.51219512195122
deepseek_v3,328,56.40243902439024,56.40243902439024,328,69.8170731707317,19.20731707317073
deepseek_r1,328,56.40243902439024,56.40243902439024,328,69.51219512195121,19.20731707317073
claude_37_sonnet,328,56.40243902439024,56.40243902439024,328,70.1219512195122,19.51219512195122
claude35_haiku,328,56.40243902439024,56.40243902439024,328,70.1219512195122,19.51219512195122
commandr_7b,328,56.40243902439024,56.40243902439024,328,69.8170731707317,19.20731707317073
commanda,328,56.40243902439024,56.40243902439024,328,70.1219512195122,19.51219512195122
gemini25_flash,328,56.40243902439024,56.40243902439024,328,70.1219512195122,19.51219512195122
commandr+,328,56.09756097560976,56.09756097560976,328,69.8170731707317,19.20731707317073
gpt_41_mini,328,55.79268292682927,55.79268292682927,328,69.51219512195121,18.902439024390244
grok3,328,56.40243902439024,56.40243902439024,328,69.8170731707317,19.20731707317073
qwen3,328,56.40243902439024,56.40243902439024,328,63.109756097560975,15.24390243902439
gemini25_pro,328,56.40243902439024,56.40243902439024,328,70.1219512195122,19.51219512195122
mistral_med3,328,56.40243902439024,56.40243902439024,328,69.8170731707317,19.20731707317073
llama4_maverick,328,56.40243902439024,56.40243902439024,328,68.90243902439023,19.20731707317073
gpt_41_nano,328,55.79268292682927,55.79268292682927,328,69.51219512195121,18.902439024390244
arcee_coderL,328,55.487804878048784,55.487804878048784,328,54.87804878048781,12.5
llama4_scout,328,56.40243902439024,56.40243902439024,328,69.51219512195121,18.902439024390244
